2,PKR,USD,23/2/2019,1000
4,MYR,USD,23/2/2019,1000
6,MYR,MYR,23/2/2019,3333
8,MYR,USD,23/2/2019,34343
10,PKR,PKR,23/2/2019,1000
12,PKR,USD,,2000
14,PKR,MYR,23/2/2019,1000
16,PKR,USD,23/2/2019,1000
18,PKR,PKR,23/2/2019,1000
20,PKR,MYR,23/2/2019,1000
22,PKR,USD,23/2/2019,1000
24,PKR,USD,23/2/2019,1000
26,PKR,MYR,23/2/2019,1000
28,PKR,PKR,23/2/2019,1000
30,MYR,,23/2/2019,1000
32,PKR,USD,23/2/2019,1000
34,EURO,USD,,1000
36,PKR,USD,23/2/2019,1000
38,PKR,USD,23/2/2019,1000
40,USD,MYR,,1000
42,PKR,USD,23/2/2019,1000
44,PKR,USD,23/2/2019,1001
46,MYR,USD,23/2/2019,1002
48,MYR,MYR,23/2/2019,1003
50,MYR,USD,23/2/2019,1004
52,PKR,PKR,23/2/2019,1005
54,PKR,USD,,1006
56,PKR,MYR,23/2/2019,1007
58,PKR,USD,23/2/2019,1008
60,PKR,PKR,23/2/2019,1009
62,PKR,MYR,23/2/2019,1010
64,PKR,USD,23/2/2019,1011
66,PKR,USD,23/2/2019,1012
68,PKR,MYR,23/2/2019,1013
70,PKR,PKR,23/2/2019,1014
72,MYR,,23/2/2019,1015
74,PKR,USD,23/2/2019,1016
76,EURO,USD,,1017
78,PKR,USD,23/2/2019,1018
80,PKR,USD,23/2/2019,1019
82,USD,MYR,,1020
84,PKR,USD,23/2/2019,1021
86,PKR,USD,23/2/2019,1022
88,MYR,USD,23/2/2019,1023
90,MYR,MYR,23/2/2019,1024
92,MYR,USD,23/2/2019,1025
94,PKR,PKR,23/2/2019,1026
96,PKR,USD,,1027
98,PKR,MYR,23/2/2019,1028
100,PKR,USD,23/2/2019,1029
102,PKR,PKR,23/2/2019,1030
104,PKR,MYR,23/2/2019,1031
106,PKR,USD,23/2/2019,1032
108,PKR,USD,23/2/2019,1033
110,PKR,MYR,23/2/2019,1034
112,PKR,PKR,23/2/2019,1035
114,MYR,,23/2/2019,1036
116,PKR,USD,23/2/2019,1037
118,EURO,USD,,1038
120,PKR,USD,23/2/2019,1039
122,PKR,USD,23/2/2019,1040
124,USD,MYR,,1041
126,PKR,USD,23/2/2019,1042
128,PKR,USD,23/2/2019,1043
130,MYR,USD,23/2/2019,1044
132,MYR,MYR,23/2/2019,1045
134,MYR,USD,23/2/2019,1046
136,PKR,PKR,23/2/2019,1047
138,PKR,USD,,1048
140,PKR,MYR,23/2/2019,1049
142,PKR,USD,23/2/2019,1050
144,PKR,PKR,23/2/2019,1051
146,PKR,MYR,23/2/2019,1052
148,PKR,USD,23/2/2019,1053
150,PKR,USD,23/2/2019,1054
152,PKR,MYR,23/2/2019,1055
154,PKR,PKR,23/2/2019,1056
156,MYR,,23/2/2019,1057
158,PKR,USD,23/2/2019,1058
160,EURO,USD,,1059
162,PKR,USD,23/2/2019,1060
164,PKR,USD,23/2/2019,1061
166,USD,MYR,,1062
168,PKR,USD,23/2/2019,1063
170,PKR,USD,23/2/2019,1064
172,MYR,USD,23/2/2019,1065
174,MYR,MYR,23/2/2019,1066
176,MYR,USD,23/2/2019,1067
178,PKR,PKR,23/2/2019,1068
180,PKR,USD,,1069
182,PKR,MYR,23/2/2019,1070
184,PKR,USD,23/2/2019,1071
186,PKR,PKR,23/2/2019,1072
188,PKR,MYR,23/2/2019,1073
